,,prec_k,prec_k,hit_rate,hit_rate,avg_score,avg_score,max_score,max_score,min_score,min_score,score_std,score_std,rouge_l,rouge_l,bert_score_f1,bert_score_f1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
llm,embedding,,,,,,,,,,,,,,,,
Qwen2.5-0.5B,e5-base,0.0976,0.1681,0.2927,0.4606,0.9028,0.0229,0.9117,0.0232,0.8937,0.0218,0.0079,0.0055,0.4084,0.1926,0.7592,0.0796
Qwen2.5-0.5B,e5-small,0.0927,0.1618,0.2927,0.4606,0.9185,0.0206,0.9273,0.022,0.9102,0.0188,0.0076,0.0054,0.3985,0.2101,0.7605,0.0717
Qwen2.5-0.5B,rubert-tiny2,0.0488,0.0978,0.2195,0.4191,0.7996,0.0365,0.8087,0.038,0.7916,0.0353,0.0074,0.0057,0.2418,0.1775,0.699,0.0669
Qwen2.5-1.5B,e5-base,0.0976,0.1681,0.2927,0.4606,0.9028,0.0229,0.9117,0.0232,0.8937,0.0218,0.0079,0.0055,0.4435,0.2426,0.8046,0.088
Qwen2.5-1.5B,e5-small,0.0927,0.1618,0.2927,0.4606,0.9185,0.0206,0.9273,0.022,0.9102,0.0188,0.0076,0.0054,0.434,0.2444,0.8051,0.086
Qwen2.5-1.5B,rubert-tiny2,0.0488,0.0978,0.2195,0.4191,0.7996,0.0365,0.8087,0.038,0.7916,0.0353,0.0074,0.0057,0.3173,0.2233,0.7575,0.0883
Qwen2.5-3B,e5-base,0.0976,0.1681,0.2927,0.4606,0.9028,0.0229,0.9117,0.0232,0.8937,0.0218,0.0079,0.0055,0.448,0.2089,0.8101,0.0765
Qwen2.5-3B,e5-small,0.0927,0.1618,0.2927,0.4606,0.9185,0.0206,0.9273,0.022,0.9102,0.0188,0.0076,0.0054,0.4515,0.1963,0.8112,0.0693
Qwen2.5-3B,rubert-tiny2,0.0488,0.0978,0.2195,0.4191,0.7996,0.0365,0.8087,0.038,0.7916,0.0353,0.0074,0.0057,0.3298,0.2252,0.7668,0.0852
SmolLM3-3B,e5-base,0.0976,0.1681,0.2927,0.4606,0.9028,0.0229,0.9117,0.0232,0.8937,0.0218,0.0079,0.0055,0.5047,0.2314,0.8183,0.0814
SmolLM3-3B,e5-small,0.0927,0.1618,0.2927,0.4606,0.9185,0.0206,0.9273,0.022,0.9102,0.0188,0.0076,0.0054,0.4953,0.2294,0.8086,0.0837
SmolLM3-3B,rubert-tiny2,0.0488,0.0978,0.2195,0.4191,0.7996,0.0365,0.8087,0.038,0.7916,0.0353,0.0074,0.0057,0.3445,0.2481,0.7664,0.0882
